2017-03-10T11:57:41.573129	MODE: Active	dir	Server msg: 421 Service not available. User needs authentication
2017-03-10T11:57:47.834660	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T11:57:47.837154	MODE: Active	type i	Server msg: 200 The requested action has been successfully completed.
2017-03-10T12:55:10.710557	MODE: Active	dir	Server msg: 421 Service not available. User needs authentication
2017-03-10T12:55:16.535675	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T12:55:16.537476	MODE: Active	type i	Server msg: 200 The requested action has been successfully completed.
2017-03-10T12:56:48.790828	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T12:56:48.792635	MODE: Active	type i	Server msg: 200 The requested action has been successfully completed.
2017-03-10T12:58:12.661285	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T12:58:12.663733	MODE: Active	type i	Server msg: 200 The requested action has been successfully completed.
2017-03-10T13:11:14.330647	MODE: Active	dir	Server msg: 421 Service not available. User needs authentication
2017-03-10T13:11:34.945605	MODE: Active	dir u p	Server msg: 421 Service not available. User needs authentication
2017-03-10T13:11:39.887082	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T13:11:41.779274	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T13:11:47.498489	MODE: Active	user u p	Server msg: 230 User logged in, proceed. 
2017-03-10T13:11:56.851356	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T13:12:04.197284	MODE: Active	cd ..	Server msg: 550 Requested action not taken. : not accessible path ..
2017-03-10T13:12:27.880483	MODE: Active	cd test_file_source	Server msg: 250 Requested file action okay, completed.
2017-03-10T13:12:30.307806	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T13:12:33.503899	MODE: Active	cd ..	Server msg: 250 Requested file action okay, completed.
2017-03-10T14:12:26.498049	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T14:12:29.632573	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T14:14:27.456713	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T14:14:31.725925	User : u	MODE: Active	cd test dir	Server msg: 250 Requested file action okay, completed.
2017-03-10T14:14:36.206318	User : u	MODE: Active	cd test	Server msg: 550 Requested action not taken. : not existing file test
2017-03-10T14:14:37.727442	User : u	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T14:15:29.932341	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T14:15:36.665987	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T14:15:39.424557	User : u	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T14:15:53.435818	User : u	MODE: Active	GET bird.jpg bird.jpg	Server msg: 150 File status okay; about to open data connection.#bird.jpg putty.exe panda.jpg achievements.jpg eye.jpg lorem.txt byebeard.jpg hoot.jpg landscape.jpg
2017-03-10T14:15:58.855134	User : u	MODE: Active	GET putty.exe putty.exe	Server msg: 150 File status okay; about to open data connection.#bird.jpg putty.exe panda.jpg achievements.jpg eye.jpg lorem.txt byebeard.jpg hoot.jpg landscape.jpg
2017-03-10T14:16:00.004989	User : u	MODE: Active	GET panda.jpg panda.jpg	Server msg: 150 File status okay; about to open data connection.#bird.jpg putty.exe panda.jpg achievements.jpg eye.jpg lorem.txt byebeard.jpg hoot.jpg landscape.jpg
2017-03-10T14:16:01.230092	User : u	MODE: Active	GET achievements.jpg achievements.jpg	Server msg: 150 File status okay; about to open data connection.#bird.jpg putty.exe panda.jpg achievements.jpg eye.jpg lorem.txt byebeard.jpg hoot.jpg landscape.jpg
2017-03-10T14:16:02.092854	User : u	MODE: Active	GET eye.jpg eye.jpg	Server msg: 150 File status okay; about to open data connection.#bird.jpg putty.exe panda.jpg achievements.jpg eye.jpg lorem.txt byebeard.jpg hoot.jpg landscape.jpg
2017-03-10T14:16:02.800981	User : u	MODE: Active	GET lorem.txt lorem.txt	Server msg: 150 File status okay; about to open data connection.#bird.jpg putty.exe panda.jpg achievements.jpg eye.jpg lorem.txt byebeard.jpg hoot.jpg landscape.jpg
2017-03-10T14:16:03.479860	User : u	MODE: Active	GET byebeard.jpg byebeard.jpg	Server msg: 150 File status okay; about to open data connection.#bird.jpg putty.exe panda.jpg achievements.jpg eye.jpg lorem.txt byebeard.jpg hoot.jpg landscape.jpg
2017-03-10T14:16:04.093186	User : u	MODE: Active	GET hoot.jpg hoot.jpg	Server msg: 150 File status okay; about to open data connection.#bird.jpg putty.exe panda.jpg achievements.jpg eye.jpg lorem.txt byebeard.jpg hoot.jpg landscape.jpg
2017-03-10T14:16:04.668880	User : u	MODE: Active	GET landscape.jpg landscape.jpg	Server msg: 150 File status okay; about to open data connection.#bird.jpg putty.exe panda.jpg achievements.jpg eye.jpg lorem.txt byebeard.jpg hoot.jpg landscape.jpg
2017-03-10T14:16:04.670238	User : u	MODE: Active	mdel *	Server msg: 250 Requested file action okay, completed.
2017-03-10T14:28:29.462886	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T14:28:33.649009	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T14:28:36.708729	User : u	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T14:29:57.384989	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T14:30:22.890970	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T14:30:24.662530	User : u	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T14:30:30.596744	User : u	MODE: Active	GET panda.jpg panda.jpg	Server msg: You must specify a file to delete
2017-03-10T14:30:31.666790	User : u	MODE: Active	GET achievements.jpg achievements.jpg	Server msg: You must specify a file to delete
2017-03-10T14:30:32.405677	User : u	MODE: Active	GET eye.jpg eye.jpg	Server msg: You must specify a file to delete
2017-03-10T14:30:36.258809	User : u	MODE: Active	GET landscape.jpg landscape.jpg	Server msg: You must specify a file to delete
2017-03-10T14:30:36.260484	User : u	MODE: Active	mdel *	Server msg: 250 Requested file action okay, completed.
2017-03-10T14:33:44.960208	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T14:33:50.378223	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T14:33:52.062674	User : u	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T14:34:47.690010	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T14:34:52.905062	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T14:34:54.277314	User : u	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T14:41:28.122910	User : u	MODE: Active	DELETE eye.jpg	Server msg: 
2017-03-10T14:41:39.099666	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T14:41:39.102589	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T14:46:37.701839	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T14:46:37.704083	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T14:53:54.196056	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T14:53:54.217331	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T14:59:08.780575	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T14:59:08.783850	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T15:05:29.158812	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T15:05:29.161536	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T15:07:02.782357	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T15:07:02.785584	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T15:12:35.241379	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T15:12:35.244392	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T15:15:57.298193	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T15:15:57.300945	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T15:20:59.221418	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T15:20:59.224285	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T15:23:05.396020	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T15:23:05.398637	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T15:24:51.058147	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T15:24:51.059547	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T15:26:35.094487	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T15:26:35.096447	User : u	MODE: Passive 	passive	Server msg: 227 Entering in passive mode.
2017-03-10T15:26:35.098203	User : u	MODE: Passive 	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T15:33:27.354605	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T15:33:27.357020	User : u	MODE: Passive 	passive	Server msg: 227 Entering in passive mode.
2017-03-10T15:33:27.359928	User : u	MODE: Passive 	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T15:39:17.059066	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T15:39:17.060911	User : u	MODE: Passive 	passive	Server msg: 227 Entering in passive mode.
2017-03-10T15:39:17.063008	User : u	MODE: Passive 	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T15:39:53.439988	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T15:39:53.442244	User : u	MODE: Passive 	passive	Server msg: 227 Entering in passive mode.
2017-03-10T15:39:53.443991	User : u	MODE: Passive 	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T15:40:19.931856	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T15:40:19.933716	User : u	MODE: Passive 	passive	Server msg: 227 Entering in passive mode.
2017-03-10T15:40:19.935788	User : u	MODE: Passive 	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T15:42:31.944380	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T15:42:33.719019	User : u	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T15:42:36.761031	User : u	MODE: Active	ls	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T15:42:38.505479	User : u	MODE: Active	ls	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T15:42:39.395582	User : u	MODE: Active	ls	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T15:42:42.695997	User : u	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T15:45:29.442383	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T15:45:29.445332	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T15:53:04.883814	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T15:53:04.925414	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T16:03:45.278349	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T16:03:48.039357	User : u	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T16:03:51.842163	User : u	MODE: Passive 	passive	Server msg: 227 Entering in passive mode.
2017-03-10T16:03:54.006117	User : u	MODE: Passive 	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T16:04:01.725989	User : u	MODE: Passive 	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T16:04:03.273691	User : u	MODE: Passive 	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T16:10:33.450270	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T16:10:33.452837	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T16:12:32.866692	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T16:12:32.869944	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T16:12:51.997440	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T16:12:51.999749	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T16:14:08.633049	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T16:14:08.635834	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T16:24:05.970840	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T16:35:04.694414	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T16:35:08.457624	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T16:35:10.273545	User : u	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T16:50:40.737506	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T16:50:48.228904	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T16:50:49.762165	User : u	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T18:42:15.496060	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T18:42:15.498438	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T18:44:48.843011	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T18:44:48.845506	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T18:46:53.294233	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T18:46:53.297183	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T19:16:55.107958	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T19:16:55.111445	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T19:18:38.689363	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T19:18:38.691946	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T19:19:11.604926	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T19:19:11.607276	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T19:20:13.312766	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T19:20:13.315719	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T19:23:25.715193	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T19:23:25.717668	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T19:45:32.928830	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T19:45:32.931049	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T19:59:52.680205	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T19:59:52.683147	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T20:00:22.922805	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T20:00:22.924965	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T20:01:47.853851	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T20:01:51.140950	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T20:02:37.963252	User : u 	MODE: Active	login	Server msg: 230 User logged in, proceed. 
2017-03-10T20:03:11.546763	User : u 	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T20:07:07.368165	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T20:07:10.710990	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T20:38:36.605301	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T20:44:30.517774	User : ANONYMOUS	MODE: Active	cd test	Server msg: 421 Service not available. User needs authentication
2017-03-10T20:44:32.165177	User : ANONYMOUS	MODE: Active	dir	Server msg: 421 Service not available. User needs authentication
2017-03-10T20:44:35.624614	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T20:44:38.940970	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T20:44:40.508613	User : u	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T21:00:14.567395	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T21:00:34.117665	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T21:01:13.944543	User : u	MODE: Active	PUT ftpclient.log ftpclient.log	Server msg: 200 The requested action has been successfully completed.
2017-03-10T21:01:38.945641	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T21:01:45.693241	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T21:08:04.642612	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T21:08:04.644936	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T21:44:52.301404	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T21:44:52.303924	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T21:53:57.547531	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T21:54:03.165869	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T21:54:04.929225	User : u	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T21:54:08.757070	User : u	MODE: Active	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T22:02:09.984455	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T22:02:20.678847	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T22:02:42.028247	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T22:02:42.030032	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T22:02:57.519036	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T22:02:57.521155	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T22:02:57.524728	User : u	MODE: Active	!cd getfolder	Server msg: /a/buffalo.cs.fiu.edu./disk/jccl-002/homes/ralfo040/ftpsoft/getfolder
2017-03-10T22:02:57.527281	User : u	MODE: Passive 	passive	Server msg: 227 Entering in passive mode.
2017-03-10T22:02:59.615610	User : u	MODE: Passive 	GET bird.jpg bird.jpg	Server msg: [GET] Failed to get data port. Try again.
2017-03-10T22:05:40.201426	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T22:05:40.203864	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T22:05:40.205093	User : u	MODE: Active	!cd getfolder	Server msg: /a/buffalo.cs.fiu.edu./disk/jccl-002/homes/ralfo040/ftpsoft/getfolder
2017-03-10T22:05:40.206409	User : u	MODE: Passive 	passive	Server msg: 227 Entering in passive mode.
2017-03-10T22:05:41.880490	User : u	MODE: Passive 	GET bird.jpg bird.jpg	Server msg: [GET] Failed to get data port. Try again.
2017-03-10T22:26:21.977932	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T22:26:21.981692	User : u	MODE: Active	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T22:26:21.986659	User : u	MODE: Active	!cd getfolder	Server msg: /a/buffalo.cs.fiu.edu./disk/jccl-002/homes/ralfo040/ftpsoft/getfolder
2017-03-10T22:26:21.989113	User : u	MODE: Passive 	passive	Server msg: 227 Entering in passive mode.
2017-03-10T22:28:42.861295	User : u	MODE: Passive 	GET bird.jpg bird.jpg	Server msg: [GET] Failed to get data port. Try again.
2017-03-10T22:29:06.553806	User : u	MODE: Active	login u p	Server msg: 230 User logged in, proceed. 
2017-03-10T22:29:11.593831	User : u	MODE: Passive 	passive	Server msg: 227 Entering in passive mode.
2017-03-10T22:29:16.309999	User : u	MODE: Passive 	ls	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T22:29:19.964988	User : u	MODE: Passive 	ls	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T22:29:21.224227	User : u	MODE: Passive 	ls	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T22:29:22.594840	User : u	MODE: Passive 	ls	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T22:29:24.456548	User : u	MODE: Passive 	ls	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T22:29:26.191025	User : u	MODE: Passive 	ls	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T22:29:27.185716	User : u	MODE: Passive 	ls	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T22:29:28.163756	User : u	MODE: Passive 	ls	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T22:29:29.946410	User : u	MODE: Passive 	ls	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T22:29:30.754289	User : u	MODE: Passive 	ls	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T22:29:39.362876	User : u	MODE: Passive 	!dir	Server msg: Listing finished
2017-03-10T22:29:45.805120	User : u	MODE: Passive 	!cd getfolder	Server msg: /a/buffalo.cs.fiu.edu./disk/jccl-002/homes/ralfo040/ftpsoft/getfolder
2017-03-10T22:29:49.290540	User : u	MODE: Passive 	!dir	Server msg: Listing finished
2017-03-10T22:29:56.281280	User : u	MODE: Passive 	cd test	Server msg: 250 Requested file action okay, completed.
2017-03-10T22:29:57.927114	User : u	MODE: Passive 	dir	Server msg: 226 Closing data connection. Requested file action successful
2017-03-10T22:30:06.436358	User : u	MODE: Passive 	GET bird.jpg bird.jpg	Server msg: 200 The requested action has been successfully completed.
2017-03-10T22:30:10.008532	User : u	MODE: Passive 	GET putty.exe putty.exe	Server msg: 200 The requested action has been successfully completed.
2017-03-10T22:30:11.924308	User : u	MODE: Passive 	GET panda.jpg panda.jpg	Server msg: 200 The requested action has been successfully completed.
2017-03-10T22:30:13.336274	User : u	MODE: Passive 	GET achievements.jpg achievements.jpg	Server msg: 200 The requested action has been successfully completed.
2017-03-10T22:30:14.496408	User : u	MODE: Passive 	GET eye.jpg eye.jpg	Server msg: 200 The requested action has been successfully completed.
2017-03-10T22:30:15.888401	User : u	MODE: Passive 	GET lorem.txt lorem.txt	Server msg: 200 The requested action has been successfully completed.
2017-03-10T22:30:19.380418	User : u	MODE: Passive 	GET byebeard.jpg byebeard.jpg	Server msg: 200 The requested action has been successfully completed.
2017-03-10T22:30:20.460394	User : u	MODE: Passive 	GET hoot.jpg hoot.jpg	Server msg: 200 The requested action has been successfully completed.
2017-03-10T22:30:21.672548	User : u	MODE: Passive 	GET landscape.jpg landscape.jpg	Server msg: 200 The requested action has been successfully completed.200 The requested action has been successfully completed.
2017-03-10T22:30:21.673972	User : u	MODE: Passive 	mget *	Server msg: 250 Requested file action okay, completed.
